Experiment: 2015-06-08_Strnad  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	65280	A1	Sample 1			0	
True	65280	A2	Sample 2			0	
True	65280	A3	Sample 3			0	
True	65280	A4	Sample 4			0	
True	65280	A5	Sample 5			0	
True	65280	A6	Sample 6			0	
True	65280	A7	Sample 7			0	
True	65280	A8	Sample 8			0	
True	65280	A9	Sample 9			0	
True	65280	A10	Sample 10			0	
True	65280	A11	Sample 11			0	
True	65280	A12	Sample 12			0	
True	65280	A13	Sample 13			0	
True	65280	A14	Sample 14			0	
True	65280	A15	Sample 15			0	
True	255	A16	Sample 16	31.84		0	
True	65280	A17	Sample 17			0	
True	65280	A18	Sample 18			0	
True	65280	A19	Sample 19			0	
True	255	A20	Sample 20	24.65		0	
True	65280	A21	Sample 21			0	
True	65280	A22	Sample 22			0	
True	65280	A23	Sample 23			0	
True	65280	A24	Sample 24			0	
True	255	B1	Sample 25	22.68		0	
True	255	B2	Sample 26	22.32		0	
True	255	B3	Sample 27	22.08		0	
True	255	B4	Sample 28	22.29		0	
True	255	B5	Sample 29	22.43		0	
True	255	B6	Sample 30	22.42		0	
True	255	B7	Sample 31	22.29		0	
True	255	B8	Sample 32	22.33		0	
True	255	B9	Sample 33	21.81		0	
True	255	B10	Sample 34	21.84		0	
True	255	B11	Sample 35	20.90		0	
True	255	B12	Sample 36	21.28		0	
True	255	B13	Sample 37	21.60		0	
True	255	B14	Sample 38	21.76		0	
True	255	B15	Sample 39	21.28		0	
True	255	B16	Sample 40	21.57		0	
True	255	B17	Sample 41	20.59		0	
True	255	B18	Sample 42	20.76		0	
True	255	B19	Sample 43	21.02		0	
True	255	B20	Sample 44	21.23		0	
True	255	B21	Sample 45	20.61		0	
True	255	B22	Sample 46	20.69		0	
True	255	B23	Sample 47	20.94		0	
True	255	B24	Sample 48	21.07		0	
True	255	C1	Sample 49	31.57		0	
True	255	C2	Sample 50	31.30		0	
True	255	C3	Sample 51	31.33		0	
True	255	C4	Sample 52	31.97		0	
True	255	C5	Sample 53	31.55		0	
True	255	C6	Sample 54	31.80		0	
True	255	C7	Sample 55	31.78		0	
True	255	C8	Sample 56	31.97		0	
True	255	C9	Sample 57	31.16		0	
True	255	C10	Sample 58	31.15		0	
True	255	C11	Sample 59	30.49		0	
True	255	C12	Sample 60	30.10		0	
True	255	C13	Sample 61	29.80		0	
True	255	C14	Sample 62	30.07		0	
True	255	C15	Sample 63	29.52		0	
True	255	C16	Sample 64	29.61		0	
True	255	C17	Sample 65	28.91		0	
True	255	C18	Sample 66	28.62		0	
True	255	C19	Sample 67	29.31		0	
True	255	C20	Sample 68	29.16		0	
True	255	C21	Sample 69	29.49		0	
True	255	C22	Sample 70	29.31		0	
True	255	C23	Sample 71	29.11		0	
True	255	C24	Sample 72	29.07		0	
True	255	D1	Sample 73	34.71		0	
True	255	D2	Sample 74	32.47		0	
True	255	D3	Sample 75	32.93		0	
True	255	D4	Sample 76	32.97		0	
