Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [Sex]	Term Source REF	Term Accession Number	Characteristics [hybridization date]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [rna extraction date]	Characteristics [route]	Characteristics [strain]	Characteristics [vehicle]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [COMPOUND]	Term Source REF	Term Accession Number	FactorValue [DOSE]	FactorValue [HYBRIDIZATION DATE]	FactorValue [ORGANISM PART]	Term Source REF	Term Accession Number	FactorValue [RNA EXTRACTION DATE]	FactorValue [ROUTE]	FactorValue [TIME]	FactorValue [VEHICLE]	Term Source REF	Term Accession Number
GSM1392637 1	Complete Affymetrix Drug Matrix dataset for liver; more details can be found at http://cebs.niehs.nih.gov/ under accession number 004-00008-0000-000-2	"Liver, Acetaminophen, 5 d"	S011106-059_ACETAMINOPHEN_100 mg/kg_ORAL GAVAGE_CORN OIL_5 d_Male_94676.CEL	male	EFO	EFO_0001266	38749	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107	38729	Oral Gavage	"Sprague Dawley, CD-IGS"	Corn Oil	  	  	P-GSE57822-5	ArrayExpress	P-GSE57822-10	ArrayExpress	P-GSE57822-6	ArrayExpress	GSM1392637 extract 1	polyA RNA	P-GSE57822-7	ArrayExpress	GSM1392637 LE 1	Biotin	P-GSE57822-8	ArrayExpress	GSM1392637	A-AFFY-43	ArrayExpress	array assay	P-GSE57822-9	ArrayExpress	GSM1392637_94676.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57822/E-GEOD-57822.raw.25.zip	P-GSE57822-3	ArrayExpress	GSM1392637_sample_table.txt norm	GSM1392637_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57822/E-GEOD-57822.processed.3.zip	Acetaminophen	EFO	http://purl.obolibrary.org/obo/CHEBI_46195	100 mg/kg	38749	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107	38729	Oral Gavage	5 d	Corn Oil	  	        
GSM1392635 1	Complete Affymetrix Drug Matrix dataset for liver; more details can be found at http://cebs.niehs.nih.gov/ under accession number 004-00008-0000-000-2	"Liver, Acetaminophen, 5 d"	S011106-058_ACETAMINOPHEN_100 mg/kg_ORAL GAVAGE_CORN OIL_5 d_Male_94671.CEL	male	EFO	EFO_0001266	38749	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107	38729	Oral Gavage	"Sprague Dawley, CD-IGS"	Corn Oil	  	  	P-GSE57822-5	ArrayExpress	P-GSE57822-10	ArrayExpress	P-GSE57822-6	ArrayExpress	GSM1392635 extract 1	polyA RNA	P-GSE57822-7	ArrayExpress	GSM1392635 LE 1	Biotin	P-GSE57822-8	ArrayExpress	GSM1392635	A-AFFY-43	ArrayExpress	array assay	P-GSE57822-9	ArrayExpress	GSM1392635_94671.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57822/E-GEOD-57822.raw.25.zip	P-GSE57822-3	ArrayExpress	GSM1392635_sample_table.txt norm	GSM1392635_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57822/E-GEOD-57822.processed.3.zip	Acetaminophen	EFO	http://purl.obolibrary.org/obo/CHEBI_46195	100 mg/kg	38749	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107	38729	Oral Gavage	5 d	Corn Oil	  	        
GSM1392459 1	Complete Affymetrix Drug Matrix dataset for liver; more details can be found at http://cebs.niehs.nih.gov/ under accession number 004-00008-0000-000-2	"Liver, Acetaminophen, 5 d"	S011106-060_ACETAMINOPHEN_100 mg/kg_ORAL GAVAGE_CORN OIL_5 d_Male_94436.CEL	male	EFO	EFO_0001266	38740	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107	38722	Oral Gavage	"Sprague Dawley, CD-IGS"	Corn Oil	  	  	P-GSE57822-5	ArrayExpress	P-GSE57822-10	ArrayExpress	P-GSE57822-6	ArrayExpress	GSM1392459 extract 1	polyA RNA	P-GSE57822-7	ArrayExpress	GSM1392459 LE 1	Biotin	P-GSE57822-8	ArrayExpress	GSM1392459	A-AFFY-43	ArrayExpress	array assay	P-GSE57822-9	ArrayExpress	GSM1392459_94436.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57822/E-GEOD-57822.raw.27.zip	P-GSE57822-3	ArrayExpress	GSM1392459_sample_table.txt norm	GSM1392459_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57822/E-GEOD-57822.processed.3.zip	Acetaminophen	EFO	http://purl.obolibrary.org/obo/CHEBI_46195	100 mg/kg	38740	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107	38722	Oral Gavage	5 d	Corn Oil	  	        
GSM1394076 1	Complete Affymetrix Drug Matrix dataset for liver; more details can be found at http://cebs.niehs.nih.gov/ under accession number 004-00008-0000-000-2	"Liver, Aspirin, 3 d"	XXV040217-016_ASPIRIN_167 mg/kg_ORAL GAVAGE_CORN OIL_3 d_Male_96744.CEL	male	EFO	EFO_0001266	38798	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107	38783	Oral Gavage	"Sprague Dawley, CD-IGS"	Corn Oil	  	  	P-GSE57822-5	ArrayExpress	P-GSE57822-10	ArrayExpress	P-GSE57822-6	ArrayExpress	GSM1394076 extract 1	polyA RNA	P-GSE57822-7	ArrayExpress	GSM1394076 LE 1	Biotin	P-GSE57822-8	ArrayExpress	GSM1394076	A-AFFY-43	ArrayExpress	array assay	P-GSE57822-9	ArrayExpress	GSM1394076_96744.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57822/E-GEOD-57822.raw.7.zip	P-GSE57822-3	ArrayExpress	GSM1394076_sample_table.txt norm	GSM1394076_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57822/E-GEOD-57822.processed.1.zip	Aspirin	EFO	http://purl.obolibrary.org/obo/CHEBI_15365	167 mg/kg	38798	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107	38783	Oral Gavage	3 d	Corn Oil	  	        
GSM1394035 1	Complete Affymetrix Drug Matrix dataset for liver; more details can be found at http://cebs.niehs.nih.gov/ under accession number 004-00008-0000-000-2	"Liver, Aspirin, 3 d"	XXV040217-018_ASPIRIN_167 mg/kg_ORAL GAVAGE_CORN OIL_3 d_Male_96701.CEL	male	EFO	EFO_0001266	38797	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107	38783	Oral Gavage	"Sprague Dawley, CD-IGS"	Corn Oil	  	  	P-GSE57822-5	ArrayExpress	P-GSE57822-10	ArrayExpress	P-GSE57822-6	ArrayExpress	GSM1394035 extract 1	polyA RNA	P-GSE57822-7	ArrayExpress	GSM1394035 LE 1	Biotin	P-GSE57822-8	ArrayExpress	GSM1394035	A-AFFY-43	ArrayExpress	array assay	P-GSE57822-9	ArrayExpress	GSM1394035_96701.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57822/E-GEOD-57822.raw.7.zip	P-GSE57822-3	ArrayExpress	GSM1394035_sample_table.txt norm	GSM1394035_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57822/E-GEOD-57822.processed.1.zip	Aspirin	EFO	http://purl.obolibrary.org/obo/CHEBI_15365	167 mg/kg	38797	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107	38783	Oral Gavage	3 d	Corn Oil	  	        
GSM1394026 1	Complete Affymetrix Drug Matrix dataset for liver; more details can be found at http://cebs.niehs.nih.gov/ under accession number 004-00008-0000-000-2	"Liver, Aspirin, 3 d"	XXV040217-017_ASPIRIN_167 mg/kg_ORAL GAVAGE_CORN OIL_3 d_Male_96692.CEL	male	EFO	EFO_0001266	38797	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107	38783	Oral Gavage	"Sprague Dawley, CD-IGS"	Corn Oil	  	  	P-GSE57822-5	ArrayExpress	P-GSE57822-10	ArrayExpress	P-GSE57822-6	ArrayExpress	GSM1394026 extract 1	polyA RNA	P-GSE57822-7	ArrayExpress	GSM1394026 LE 1	Biotin	P-GSE57822-8	ArrayExpress	GSM1394026	A-AFFY-43	ArrayExpress	array assay	P-GSE57822-9	ArrayExpress	GSM1394026_96692.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57822/E-GEOD-57822.raw.7.zip	P-GSE57822-3	ArrayExpress	GSM1394026_sample_table.txt norm	GSM1394026_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57822/E-GEOD-57822.processed.1.zip	Aspirin	EFO	http://purl.obolibrary.org/obo/CHEBI_15365	167 mg/kg	38797	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107	38783	Oral Gavage	3 d	Corn Oil	  	        
GSM1392691 1	Complete Affymetrix Drug Matrix dataset for liver; more details can be found at http://cebs.niehs.nih.gov/ under accession number 004-00008-0000-000-2	"Liver, Diclofenac, 3 d"	S011211-045_DICLOFENAC_10 mg/kg_ORAL GAVAGE_CORN OIL_3 d_Male_94740.CEL	male	EFO	EFO_0001266	38750	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107	38732	Oral Gavage	"Sprague Dawley, CD-IGS"	Corn Oil	  	  	P-GSE57822-5	ArrayExpress	P-GSE57822-10	ArrayExpress	P-GSE57822-6	ArrayExpress	GSM1392691 extract 1	polyA RNA	P-GSE57822-7	ArrayExpress	GSM1392691 LE 1	Biotin	P-GSE57822-8	ArrayExpress	GSM1392691	A-AFFY-43	ArrayExpress	array assay	P-GSE57822-9	ArrayExpress	GSM1392691_94740.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57822/E-GEOD-57822.raw.25.zip	P-GSE57822-3	ArrayExpress	GSM1392691_sample_table.txt norm	GSM1392691_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57822/E-GEOD-57822.processed.3.zip	diclofenac	EFO	http://purl.obolibrary.org/obo/CHEBI_47381	10 mg/kg	38750	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107	38732	Oral Gavage	3 d	Corn Oil	  	        
GSM1392598 1	Complete Affymetrix Drug Matrix dataset for liver; more details can be found at http://cebs.niehs.nih.gov/ under accession number 004-00008-0000-000-2	"Liver, Diclofenac, 3 d"	S011211-044_DICLOFENAC_10 mg/kg_ORAL GAVAGE_CORN OIL_3 d_Male_94590.CEL	male	EFO	EFO_0001266	38743	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107	38727	Oral Gavage	"Sprague Dawley, CD-IGS"	Corn Oil	  	  	P-GSE57822-5	ArrayExpress	P-GSE57822-10	ArrayExpress	P-GSE57822-6	ArrayExpress	GSM1392598 extract 1	polyA RNA	P-GSE57822-7	ArrayExpress	GSM1392598 LE 1	Biotin	P-GSE57822-8	ArrayExpress	GSM1392598	A-AFFY-43	ArrayExpress	array assay	P-GSE57822-9	ArrayExpress	GSM1392598_94590.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57822/E-GEOD-57822.raw.26.zip	P-GSE57822-3	ArrayExpress	GSM1392598_sample_table.txt norm	GSM1392598_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57822/E-GEOD-57822.processed.3.zip	diclofenac	EFO	http://purl.obolibrary.org/obo/CHEBI_47381	10 mg/kg	38743	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107	38727	Oral Gavage	3 d	Corn Oil	  	        
GSM1392512 1	Complete Affymetrix Drug Matrix dataset for liver; more details can be found at http://cebs.niehs.nih.gov/ under accession number 004-00008-0000-000-2	"Liver, Diclofenac, 3 d"	S011211-043_DICLOFENAC_10 mg/kg_ORAL GAVAGE_CORN OIL_3 d_Male_94500.CEL	male	EFO	EFO_0001266	38741	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107	38723	Oral Gavage	"Sprague Dawley, CD-IGS"	Corn Oil	  	  	P-GSE57822-5	ArrayExpress	P-GSE57822-10	ArrayExpress	P-GSE57822-6	ArrayExpress	GSM1392512 extract 1	polyA RNA	P-GSE57822-7	ArrayExpress	GSM1392512 LE 1	Biotin	P-GSE57822-8	ArrayExpress	GSM1392512	A-AFFY-43	ArrayExpress	array assay	P-GSE57822-9	ArrayExpress	GSM1392512_94500.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57822/E-GEOD-57822.raw.27.zip	P-GSE57822-3	ArrayExpress	GSM1392512_sample_table.txt norm	GSM1392512_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57822/E-GEOD-57822.processed.3.zip	diclofenac	EFO	http://purl.obolibrary.org/obo/CHEBI_47381	10 mg/kg	38741	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107	38723	Oral Gavage	3 d	Corn Oil	  	        
GSM1393683 1	Complete Affymetrix Drug Matrix dataset for liver; more details can be found at http://cebs.niehs.nih.gov/ under accession number 004-00008-0000-000-2	"Liver, Ibuprofen, 3 d"	S011016-057_IBUPROFEN_263 mg/kg_ORAL GAVAGE_CORN OIL_3 d_Male_96263.CEL	male	EFO	EFO_0001266	38785	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107	38777	Oral Gavage	"Sprague Dawley, CD-IGS"	Corn Oil	  	  	P-GSE57822-5	ArrayExpress	P-GSE57822-10	ArrayExpress	P-GSE57822-6	ArrayExpress	GSM1393683 extract 1	polyA RNA	P-GSE57822-7	ArrayExpress	GSM1393683 LE 1	Biotin	P-GSE57822-8	ArrayExpress	GSM1393683	A-AFFY-43	ArrayExpress	array assay	P-GSE57822-9	ArrayExpress	GSM1393683_96263.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57822/E-GEOD-57822.raw.12.zip	P-GSE57822-3	ArrayExpress	GSM1393683_sample_table.txt norm	GSM1393683_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57822/E-GEOD-57822.processed.2.zip	IBUPROFEN	EFO	http://purl.obolibrary.org/obo/CHEBI_43415	263 mg/kg	38785	liver	EFO	http://purl.obolibrary.org/obo/UBERON_0002107	38777	Oral Gavage	3 d	Corn Oil	  	        
