Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [hepatotoxicity status]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [sex]	Term Source REF	Term Accession Number	Characteristics [strain]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [hepatotoxicity status]
GSM1662214 1	gene expression data from the blood sample of one of the 5 most susceptible rats after acetaminophen treatment	blood sample of one of the 5 most susceptible rats after acetaminophen treatment	most susceptible, postdose biological rep5	susceptible	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood	EFO	http://purl.obolibrary.org/obo/UBERON_0000178	male	EFO	http://purl.org/obo/owl/PATO#PATO_0000384	Wistar	EFO	EFO_0001342	P-GSE68065-2	ArrayExpress	P-GSE68065-3	ArrayExpress	P-GSE68065-4	ArrayExpress	GSM1662214 extract 1	total RNA	P-GSE68065-5	ArrayExpress	GSM1662214 LE 1	biotin	P-GSE68065-6	ArrayExpress	GSM1662214	A-AFFY-43	ArrayExpress	array assay	P-GSE68065-7	ArrayExpress	GSM1662214_AP-5-3_Rat230_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.raw.1.zip	P-GSE68065-1	ArrayExpress	GSM1662214_sample_table.txt norm	GSM1662214_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.processed.1.zip	susceptible
GSM1662213 1	gene expression data from the blood sample of one of the 5 most susceptible rats after acetaminophen treatment	blood sample of one of the 5 most susceptible rats after acetaminophen treatment	most susceptible, postdose biological rep4	susceptible	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood	EFO	http://purl.obolibrary.org/obo/UBERON_0000178	male	EFO	http://purl.org/obo/owl/PATO#PATO_0000384	Wistar	EFO	EFO_0001342	P-GSE68065-2	ArrayExpress	P-GSE68065-3	ArrayExpress	P-GSE68065-4	ArrayExpress	GSM1662213 extract 1	total RNA	P-GSE68065-5	ArrayExpress	GSM1662213 LE 1	biotin	P-GSE68065-6	ArrayExpress	GSM1662213	A-AFFY-43	ArrayExpress	array assay	P-GSE68065-7	ArrayExpress	GSM1662213_AP-4-2_Rat230_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.raw.1.zip	P-GSE68065-1	ArrayExpress	GSM1662213_sample_table.txt norm	GSM1662213_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.processed.1.zip	susceptible
GSM1662212 1	gene expression data from the blood sample of one of the 5 most susceptible rats after acetaminophen treatment	blood sample of one of the 5 most susceptible rats after acetaminophen treatment	most susceptible, postdose biological rep3	susceptible	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood	EFO	http://purl.obolibrary.org/obo/UBERON_0000178	male	EFO	http://purl.org/obo/owl/PATO#PATO_0000384	Wistar	EFO	EFO_0001342	P-GSE68065-2	ArrayExpress	P-GSE68065-3	ArrayExpress	P-GSE68065-4	ArrayExpress	GSM1662212 extract 1	total RNA	P-GSE68065-5	ArrayExpress	GSM1662212 LE 1	biotin	P-GSE68065-6	ArrayExpress	GSM1662212	A-AFFY-43	ArrayExpress	array assay	P-GSE68065-7	ArrayExpress	GSM1662212_AP-2-8_Rat230_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.raw.1.zip	P-GSE68065-1	ArrayExpress	GSM1662212_sample_table.txt norm	GSM1662212_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.processed.1.zip	susceptible
GSM1662211 1	gene expression data from the blood sample of one of the 5 most susceptible rats after acetaminophen treatment	blood sample of one of the 5 most susceptible rats after acetaminophen treatment	most susceptible, postdose biological rep2	susceptible	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood	EFO	http://purl.obolibrary.org/obo/UBERON_0000178	male	EFO	http://purl.org/obo/owl/PATO#PATO_0000384	Wistar	EFO	EFO_0001342	P-GSE68065-2	ArrayExpress	P-GSE68065-3	ArrayExpress	P-GSE68065-4	ArrayExpress	GSM1662211 extract 1	total RNA	P-GSE68065-5	ArrayExpress	GSM1662211 LE 1	biotin	P-GSE68065-6	ArrayExpress	GSM1662211	A-AFFY-43	ArrayExpress	array assay	P-GSE68065-7	ArrayExpress	GSM1662211_AP-2-6_Rat230_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.raw.1.zip	P-GSE68065-1	ArrayExpress	GSM1662211_sample_table.txt norm	GSM1662211_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.processed.1.zip	susceptible
GSM1662210 1	gene expression data from the blood sample of one of the 5 most susceptible rats after acetaminophen treatment	blood sample of one of the 5 most susceptible rats after acetaminophen treatment	most susceptible, postdose biological rep1	susceptible	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood	EFO	http://purl.obolibrary.org/obo/UBERON_0000178	male	EFO	http://purl.org/obo/owl/PATO#PATO_0000384	Wistar	EFO	EFO_0001342	P-GSE68065-2	ArrayExpress	P-GSE68065-3	ArrayExpress	P-GSE68065-4	ArrayExpress	GSM1662210 extract 1	total RNA	P-GSE68065-5	ArrayExpress	GSM1662210 LE 1	biotin	P-GSE68065-6	ArrayExpress	GSM1662210	A-AFFY-43	ArrayExpress	array assay	P-GSE68065-7	ArrayExpress	GSM1662210_AP-2-3_Rat230_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.raw.1.zip	P-GSE68065-1	ArrayExpress	GSM1662210_sample_table.txt norm	GSM1662210_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.processed.1.zip	susceptible
GSM1662209 1	gene expression data from the blood sample of one of the 5 most resistant rats after acetaminophen treatment	blood sample of one of the 5 most resistant rats after acetaminophen treatment	most resistant, postdose biological rep5	resistant	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood	EFO	http://purl.obolibrary.org/obo/UBERON_0000178	male	EFO	http://purl.org/obo/owl/PATO#PATO_0000384	Wistar	EFO	EFO_0001342	P-GSE68065-2	ArrayExpress	P-GSE68065-3	ArrayExpress	P-GSE68065-4	ArrayExpress	GSM1662209 extract 1	total RNA	P-GSE68065-5	ArrayExpress	GSM1662209 LE 1	biotin	P-GSE68065-6	ArrayExpress	GSM1662209	A-AFFY-43	ArrayExpress	array assay	P-GSE68065-7	ArrayExpress	GSM1662209_AP-4-8_Rat230_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.raw.1.zip	P-GSE68065-1	ArrayExpress	GSM1662209_sample_table.txt norm	GSM1662209_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.processed.1.zip	resistant
GSM1662208 1	gene expression data from the blood sample of one of the 5 most resistant rats after acetaminophen treatment	blood sample of one of the 5 most resistant rats after acetaminophen treatment	most resistant, postdose biological rep4	resistant	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood	EFO	http://purl.obolibrary.org/obo/UBERON_0000178	male	EFO	http://purl.org/obo/owl/PATO#PATO_0000384	Wistar	EFO	EFO_0001342	P-GSE68065-2	ArrayExpress	P-GSE68065-3	ArrayExpress	P-GSE68065-4	ArrayExpress	GSM1662208 extract 1	total RNA	P-GSE68065-5	ArrayExpress	GSM1662208 LE 1	biotin	P-GSE68065-6	ArrayExpress	GSM1662208	A-AFFY-43	ArrayExpress	array assay	P-GSE68065-7	ArrayExpress	GSM1662208_AP-3-2_Rat230_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.raw.1.zip	P-GSE68065-1	ArrayExpress	GSM1662208_sample_table.txt norm	GSM1662208_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.processed.1.zip	resistant
GSM1662207 1	gene expression data from the blood sample of one of the 5 most resistant rats after acetaminophen treatment	blood sample of one of the 5 most resistant rats after acetaminophen treatment	most resistant, postdose biological rep3	resistant	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood	EFO	http://purl.obolibrary.org/obo/UBERON_0000178	male	EFO	http://purl.org/obo/owl/PATO#PATO_0000384	Wistar	EFO	EFO_0001342	P-GSE68065-2	ArrayExpress	P-GSE68065-3	ArrayExpress	P-GSE68065-4	ArrayExpress	GSM1662207 extract 1	total RNA	P-GSE68065-5	ArrayExpress	GSM1662207 LE 1	biotin	P-GSE68065-6	ArrayExpress	GSM1662207	A-AFFY-43	ArrayExpress	array assay	P-GSE68065-7	ArrayExpress	GSM1662207_AP-1-8_Rat230_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.raw.1.zip	P-GSE68065-1	ArrayExpress	GSM1662207_sample_table.txt norm	GSM1662207_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.processed.1.zip	resistant
GSM1662206 1	gene expression data from the blood sample of one of the 5 most resistant rats after acetaminophen treatment	blood sample of one of the 5 most resistant rats after acetaminophen treatment	most resistant, postdose biological rep2	resistant	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood	EFO	http://purl.obolibrary.org/obo/UBERON_0000178	male	EFO	http://purl.org/obo/owl/PATO#PATO_0000384	Wistar	EFO	EFO_0001342	P-GSE68065-2	ArrayExpress	P-GSE68065-3	ArrayExpress	P-GSE68065-4	ArrayExpress	GSM1662206 extract 1	total RNA	P-GSE68065-5	ArrayExpress	GSM1662206 LE 1	biotin	P-GSE68065-6	ArrayExpress	GSM1662206	A-AFFY-43	ArrayExpress	array assay	P-GSE68065-7	ArrayExpress	GSM1662206_AP-1-1_Rat230_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.raw.1.zip	P-GSE68065-1	ArrayExpress	GSM1662206_sample_table.txt norm	GSM1662206_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.processed.1.zip	resistant
GSM1662205 1	gene expression data from the blood sample of one of the 5 most resistant rats after acetaminophen treatment	blood sample of one of the 5 most resistant rats after acetaminophen treatment	most resistant, postdose biological rep1	resistant	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood	EFO	http://purl.obolibrary.org/obo/UBERON_0000178	male	EFO	http://purl.org/obo/owl/PATO#PATO_0000384	Wistar	EFO	EFO_0001342	P-GSE68065-2	ArrayExpress	P-GSE68065-3	ArrayExpress	P-GSE68065-4	ArrayExpress	GSM1662205 extract 1	total RNA	P-GSE68065-5	ArrayExpress	GSM1662205 LE 1	biotin	P-GSE68065-6	ArrayExpress	GSM1662205	A-AFFY-43	ArrayExpress	array assay	P-GSE68065-7	ArrayExpress	GSM1662205_AP-0-1_Rat230_2_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.raw.1.zip	P-GSE68065-1	ArrayExpress	GSM1662205_sample_table.txt norm	GSM1662205_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-68065/E-GEOD-68065.processed.1.zip	resistant
