Sample	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	Trimmomatic_mqc-generalstats-trimmomatic-dropped_pct	FastQC_mqc-generalstats-fastqc-percent_gc
SRR1039508_1_subset	0.0	19.4433310725	63.0	1250000.0	1.34	50.0
SRR1039508_2_subset	0.0	19.0313363933	63.0	1250000.0		50.0
SRR1039508_subset_trimmomatic_1P	0.0	18.9098783842	62.7986988611	1193416.0		49.0
SRR1039508_subset_trimmomatic_2P	0.0	18.8179634923	62.799159723	1193416.0		49.0
SRR1039509_1_subset	0.0	19.2210114302	63.0	1250000.0	2.22	49.0
SRR1039509_2_subset	0.0	18.2866272487	63.0	1250000.0		49.0
SRR1039509_subset_trimmomatic_1P	0.0	18.1002965529	62.7906226446	1168837.0		49.0
SRR1039509_subset_trimmomatic_2P	0.0	18.0175931551	62.7921831701	1168837.0		49.0
SRR1039512_1_subset	0.0	21.9306581872	63.0	1250000.0	0.73	49.0
SRR1039512_2_subset	0.0	21.4150717638	63.0	1250000.0		49.0
SRR1039512_subset_trimmomatic_1P	0.0	21.0857951936	62.4879723131	1177741.0		49.0
SRR1039512_subset_trimmomatic_2P	0.0	21.0707314681	62.4060357922	1177741.0		49.0
SRR1039513_1_subset	0.0	19.4368124428	63.0	1250000.0	1.18	48.0
SRR1039513_2_subset	0.0	18.9973720264	63.0	1250000.0		48.0
SRR1039513_subset_trimmomatic_1P	0.0	18.5315731589	62.3109899748	1154989.0		48.0
SRR1039513_subset_trimmomatic_2P	0.0	18.4621537981	62.2398628905	1154989.0		48.0
