"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","GENENAME"
"ENSG00000152583",997.439773207048,4.52554068126301,0.184298380001247,2.2223197036393e-136,3.99884207472855e-132,"SPARCL1","SPARC like 1"
"ENSG00000165995",495.092906698546,3.26614475525172,0.1330185801963,7.83975707169113e-135,7.05342943740051e-131,"CACNB2","calcium voltage-gated channel auxiliary subunit beta 2"
"ENSG00000120129",3409.02937530956,2.92785676347068,0.121283118187098,3.66731992961347e-130,2.19965849378216e-126,"DUSP1","dual specificity phosphatase 1"
"ENSG00000101347",12703.3870621821,3.73192785119597,0.155304358580123,9.58233785980007e-130,4.31061468623106e-126,"SAMHD1","SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1"
"ENSG00000189221",2341.76725275591,3.32518941230085,0.141606890190984,1.09937071871907e-123,3.95641534252619e-120,"MAOA","monoamine oxidase A"
"ENSG00000211445",12285.6151498691,3.69057864660031,0.165656795088812,4.6181377035723e-112,1.38497949730133e-108,"GPX3","glutathione peroxidase 3"
"ENSG00000157214",3009.26322295794,1.96479409176923,0.0903760895523998,5.76907556550309e-107,1.48298208179518e-103,"STEAP2","STEAP2 metalloreductase"
"ENSG00000162614",5393.10168349223,2.02303511586746,0.0945522163546727,1.32374646946239e-103,2.97743674643827e-100,"NEXN","nexilin F-actin binding protein"
"ENSG00000125148",3656.252782247,2.19624884244399,0.105868205897836,2.90221027953763e-97,5.80248575222222e-94,"MT2A","metallothionein 2A"
"ENSG00000154734",30315.1354711078,2.32830783055594,0.11590565814588,3.25945584928201e-91,5.86506485519805e-88,"ADAMTS1","ADAM metallopeptidase with thrombospondin type 1 motif 1"
"ENSG00000139132",1223.46614081102,2.21214798033479,0.113093046317303,7.57804468021837e-87,1.23963032705318e-83,"FGD4","FYVE, RhoGEF and PH domain containing 4"
"ENSG00000162493",1099.62586594636,1.87664271504073,0.09638297180647,8.76771495477341e-87,1.31471885746827e-83,"PDPN","podoplanin"
"ENSG00000134243",5510.95825597916,2.17904321932114,0.112311972524065,1.4511498816726e-85,2.00861469006283e-82,"SORT1","sortilin 1"
"ENSG00000179094",776.596665468835,3.15441450353658,0.163640842573317,2.12109133843542e-84,2.72620839598621e-81,"PER1","period circadian regulator 1"
"ENSG00000162692",508.170232439755,-3.64044256100824,0.189902130374165,5.64321511382162e-84,6.76960085054042e-81,"VCAM1","vascular cell adhesion molecule 1"
"ENSG00000163884",561.107166129071,4.37841175637525,0.235130135104239,2.22558439607124e-80,2.50294785143162e-77,"KLF15","Kruppel like factor 15"
"ENSG00000178695",2649.85014895882,-2.50486991967096,0.134345382784704,6.66707120290558e-79,7.05689877794606e-76,"KCTD12","potassium channel tetramerization domain containing 12"
"ENSG00000198624",2057.19173059348,2.8834402064993,0.160939306601965,3.57763499215812e-73,3.57644244716074e-70,"CCDC69","coiled-coil domain containing 69"
"ENSG00000107562",25136.3075719089,-1.89412813818636,0.106526026744448,4.78614978254117e-73,4.53273574668662e-70,"CXCL12","C-X-C motif chemokine ligand 12"
"ENSG00000148848",1365.17398590702,-1.79730796860928,0.101293769807117,6.81455165829998e-73,6.13105212697249e-70,"ADAM12","ADAM metallopeptidase domain 12"
"ENSG00000146250",313.689977800113,-2.72461402140774,0.154591978457312,7.72258138369368e-71,6.61714901991353e-68,"PRSS35","serine protease 35"
"ENSG00000106976",884.745882993046,-1.73832412631465,0.100563252449114,1.93141688244543e-69,1.57972342648741e-66,"DNM1","dynamin 1"
"ENSG00000154930",670.046703530433,1.87976583361282,0.109553955194216,2.47529910491694e-68,1.93654487364676e-65,"ACSS1","acyl-CoA synthetase short chain family member 1"
"ENSG00000163394",1216.6020649876,-2.16745544044632,0.125893420389467,3.53702881624308e-68,2.65188735497825e-65,"CCKAR","cholecystokinin A receptor"
"ENSG00000253368",1040.17649034906,1.96962816394249,0.115278576511473,1.27107995609556e-67,9.14872509199339e-65,"TRNP1","TMF1 regulated nuclear protein 1"
"ENSG00000163661",8565.70116426611,2.23781919133486,0.131129950284734,6.38229171158019e-67,4.41703680992977e-64,"PTX3","pentraxin 3"
"ENSG00000162616",1467.63582703992,1.50193828934714,0.0885285385789733,7.74650966612579e-67,5.16261833082472e-64,"DNAJB4","DnaJ heat shock protein family (Hsp40) member B4"
"ENSG00000148175",11193.718773887,1.4312798691706,0.0847858366200495,4.70696799393763e-66,3.02489936010406e-63,"STOM","stomatin"
"ENSG00000124766",1281.46865801595,-2.3864314961982,0.140886531100769,8.87957189118505e-66,5.50962126241324e-63,"SOX4","SRY-box transcription factor 4"
"ENSG00000197381",1969.04835631005,2.29715255028467,0.135997695849173,1.54343476700111e-65,9.25752173247264e-63,"ADARB1","adenosine deaminase RNA specific B1"
"ENSG00000172403",8014.7816508389,1.72486169418237,0.104251407143956,5.54827219038903e-64,3.22050354173743e-61,"SYNPO2","synaptopodin 2"
"ENSG00000116285",3232.63543712134,2.39767761237011,0.144345984261491,2.26079022771496e-63,1.27127060492197e-60,"ERRFI1","ERBB receptor feedback inhibitor 1"
"ENSG00000163083",418.921476555884,3.38814752775003,0.208287592508734,2.54300836382127e-61,1.38663310601818e-58,"INHBB","inhibin subunit beta B"
"ENSG00000166741",7432.9363516342,2.16308762849515,0.135065272789363,1.69561364847791e-59,8.97378587962103e-57,"NNMT","nicotinamide N-methyltransferase"
"ENSG00000070404",2128.11402480981,1.79346169573062,0.114539813450669,1.03360256157171e-57,5.31389842654896e-55,"FSTL3","follistatin like 3"
"ENSG00000105989",333.214688163837,-2.99192254494774,0.190805260556168,6.8684077211204e-57,3.43305912594001e-54,"WNT2","Wnt family member 2"
"ENSG00000122035",943.340574231144,2.26138258603542,0.145285778536154,3.15423035183028e-56,1.53397894461713e-53,"RASL11A","RAS like family 11 member A"
"ENSG00000119139",5029.85142077092,1.90460904763844,0.123407824106436,4.86326325649667e-56,2.30288313256319e-53,"TJP2","tight junction protein 2"
"ENSG00000136478",3701.52859767166,1.44580497977603,0.0937518898667792,8.25882261340739e-56,3.81049369501673e-53,"TEX2","testis expressed 2"
"ENSG00000196569",17178.4260430908,2.00502725606553,0.133820332229927,7.36168827135654e-53,3.31165546886974e-50,"LAMA2","laminin subunit alpha 2"
"ENSG00000108821",100990.694351515,-1.28665041045574,0.0857505439911344,1.27230586891857e-52,5.58387117202945e-50,"COL1A1","collagen type I alpha 1 chain"
"ENSG00000221866",847.493946021912,2.70959228792495,0.181417583475058,8.98292592803918e-52,3.8485421225985e-49,"PLXNA4","plexin A4"
"ENSG00000100242",2236.2383212374,1.83398359326968,0.124337353855784,1.20262431973535e-51,5.0325632579809e-49,"SUN2","Sad1 and UNC84 domain containing 2"
