"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","GENENAME"
"ENSG00000152583",997.410354309803,4.52655434520876,0.184402616164094,3.87953314099946e-136,6.88267974544715e-132,"SPARCL1","SPARC like 1"
"ENSG00000165995",495.088726091201,3.26747504750371,0.132752525616915,2.56856552585633e-135,2.27844604971086e-131,"CACNB2","calcium voltage-gated channel auxiliary subunit beta 2"
"ENSG00000120129",3408.96081621086,2.92880718628514,0.121787557041481,4.37073901757596e-129,2.58470936369384e-125,"DUSP1","dual specificity phosphatase 1"
"ENSG00000101347",12703.1983347364,3.73294774134374,0.155947232078725,1.36566660107969e-128,6.05707279243871e-125,"SAMHD1","SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1"
"ENSG00000189221",2341.72418995625,3.32641835890777,0.142040018695766,6.89933378327539e-123,2.44802161298177e-119,"MAOA","monoamine oxidase A"
"ENSG00000211445",12285.6462530561,3.69181165168964,0.166287101991412,3.94526507598724e-111,1.16654912855149e-107,"GPX3","glutathione peroxidase 3"
"ENSG00000157214",3009.21914845443,1.96521456719613,0.0909595490855734,1.18009301582924e-105,2.99086145626093e-102,"STEAP2","STEAP2 metalloreductase"
"ENSG00000162614",5392.99661043581,2.02351482278721,0.0951923151705708,2.85637941524246e-102,6.33437840072705e-99,"NEXN","nexilin F-actin binding protein"
"ENSG00000125148",3656.16117849273,2.19691600288644,0.106448025252269,3.04636077584329e-96,6.00505405824842e-93,"MT2A","metallothionein 2A"
"ENSG00000154734",30314.4640976904,2.3291141440983,0.116593393525034,3.57381202980775e-90,6.34029992208193e-87,"ADAMTS1","ADAM metallopeptidase with thrombospondin type 1 motif 1"
"ENSG00000139132",1223.43260409568,2.21300684351273,0.113367052575786,1.899514722589e-86,3.06357188122286e-83,"FGD4","FYVE, RhoGEF and PH domain containing 4"
"ENSG00000162493",1099.5947255646,1.87720528189677,0.0966353852129489,2.25543977851055e-86,3.33447975921298e-83,"PDPN","podoplanin"
"ENSG00000134243",5510.87941896198,2.17977707064076,0.112920886415805,1.11464691947894e-84,1.52115007680584e-81,"SORT1","sortilin 1"
"ENSG00000179094",776.57332590035,3.15629215009144,0.163649454203914,2.36645762749114e-84,2.99880891209431e-81,"PER1","period circadian regulator 1"
"ENSG00000162692",508.154144887729,-3.64251958611243,0.189554754146041,3.53471345590564e-84,4.18062342808146e-81,"VCAM1","vascular cell adhesion molecule 1"
"ENSG00000163884",561.090929205979,4.38050975533798,0.234795284218331,1.68270499738389e-80,1.86580433491172e-77,"KLF15","Kruppel like factor 15"
"ENSG00000178695",2649.77043186231,-2.50606635918748,0.134832022312845,2.36495307201308e-78,2.46803720297553e-75,"KCTD12","potassium channel tetramerization domain containing 12"
"ENSG00000198624",2057.14536422477,2.88519956058686,0.161355650827478,8.60088527708956e-73,8.47712809449143e-70,"CCDC69","coiled-coil domain containing 69"
"ENSG00000148848",1365.129650889,-1.79783993482649,0.10159998319699,1.68184301834478e-72,1.57039878886604e-69,"ADAM12","ADAM metallopeptidase domain 12"
"ENSG00000107562",25135.6584929754,-1.89462737977185,0.107279230673473,4.35120625447913e-72,3.85973750803571e-69,"CXCL12","C-X-C motif chemokine ligand 12"
"ENSG00000146250",313.67996279182,-2.72654938544832,0.153995444006466,2.27679752298239e-71,1.92346023120146e-68,"PRSS35","serine protease 35"
"ENSG00000106976",884.720468172738,-1.73887604011633,0.100717642101667,2.8729397444831e-69,2.31676472758521e-66,"DNM1","dynamin 1"
"ENSG00000154930",670.032264260723,1.88058330187599,0.109534935144563,2.21437474884652e-68,1.70805314866461e-65,"ACSS1","acyl-CoA synthetase short chain family member 1"
"ENSG00000163394",1216.56680177829,-2.16848492396374,0.126251431317588,8.1598959101518e-68,6.03186305591679e-65,"CCKAR","cholecystokinin A receptor"
"ENSG00000253368",1040.15294409695,1.97049138572597,0.115517771604889,2.24866062293607e-67,1.59573952446035e-64,"TRNP1","TMF1 regulated nuclear protein 1"
"ENSG00000163661",8565.46774205974,2.23888394635504,0.131738828525821,2.47071734168248e-66,1.68588447533803e-63,"PTX3","pentraxin 3"
"ENSG00000162616",1467.60868221301,1.50218508653068,0.088920229680256,2.68588682181006e-66,1.7648265965086e-63,"DNAJB4","DnaJ heat shock protein family (Hsp40) member B4"
"ENSG00000124766",1281.43056650149,-2.38783101782378,0.141153336010756,1.52190946952047e-65,9.64292710670093e-63,"SOX4","SRY-box transcription factor 4"
"ENSG00000197381",1969.01003110214,2.29838883895784,0.136381204076534,3.44612109443802e-65,2.10819428746293e-62,"ADARB1","adenosine deaminase RNA specific B1"
"ENSG00000148175",11193.4080254903,1.43135732091408,0.085477920603437,4.79848800441143e-65,2.83766585620877e-62,"STOM","stomatin"
"ENSG00000172403",8014.61193178892,1.7253196898522,0.104850392366656,2.54722235739975e-63,1.45775070460093e-60,"SYNPO2","synaptopodin 2"
"ENSG00000116285",3232.58445513152,2.39903641212939,0.144899661686813,6.55162031942153e-63,3.63225925271429e-60,"ERRFI1","ERBB receptor feedback inhibitor 1"
"ENSG00000163083",418.906153372017,3.3913283901171,0.207772240606618,1.47823641748136e-61,7.94708857046572e-59,"INHBB","inhibin subunit beta B"
"ENSG00000166741",7432.73150739477,2.16420323938457,0.135690089669973,5.53963345543704e-59,2.8905481509679e-56,"NNMT","nicotinamide N-methyltransferase"
"ENSG00000070404",2128.04521204854,1.79411858500697,0.115001238117674,2.65226695966385e-57,1.34439623232561e-54,"FSTL3","follistatin like 3"
"ENSG00000105989",333.198308612783,-2.99511511642375,0.190138181499085,2.89470124017987e-57,1.4265248528342e-54,"WNT2","Wnt family member 2"
"ENSG00000122035",943.325693422951,2.26286955870141,0.145431465178836,3.98389596032054e-56,1.9102242765418e-53,"RASL11A","RAS like family 11 member A"
"ENSG00000119139",5029.79358901987,1.90541060683028,0.124046032644254,1.61830830156916e-55,7.5553704152996e-53,"TJP2","tight junction protein 2"
"ENSG00000136478",3701.45339306437,1.44595684076572,0.0943654033722025,3.90009976536951e-55,1.77414538301078e-52,"TEX2","testis expressed 2"
"ENSG00000196569",17177.9191239399,2.00602685881112,0.134514356119939,2.32267940991806e-52,1.03016638528391e-49,"LAMA2","laminin subunit alpha 2"
"ENSG00000108821",100987.846887009,-1.28663573550169,0.0865025632232149,9.55040478594876e-52,4.13253003189066e-49,"COL1A1","collagen type I alpha 1 chain"
"ENSG00000221866",847.459869975745,2.71201186486088,0.181485995203576,9.86617582502968e-52,4.16751965028218e-49,"PLXNA4","plexin A4"
"ENSG00000172986",756.344724445296,-1.55020025138922,0.105335812782276,2.23994885519012e-51,9.24161224184372e-49,"GXYLT2","glucoside xylosyltransferase 2"
"ENSG00000100242",2236.17962300601,1.83479669336436,0.124834934216811,2.75758239943776e-51,1.11186975791876e-48,"SUN2","Sad1 and UNC84 domain containing 2"
"ENSG00000060718",363.764388224911,2.39566285236497,0.161316943041791,2.95964276681481e-51,1.16682271835692e-48,"COL11A1","collagen type XI alpha 1 chain"
"ENSG00000134686",2737.91688319474,1.36732997244955,0.0928495313197427,5.09999810506316e-51,1.88498054962345e-48,"PHC2","polyhomeotic homolog 2"
"ENSG00000145685",2018.10428453866,-1.2228448670159,0.0826751394582653,4.95901202516174e-51,1.88498054962345e-48,"LHFPL2","LHFPL tetraspan subfamily member 2"
"ENSG00000157150",167.609956491332,2.89621679814495,0.19536841142633,5.02942889374749e-51,1.88498054962345e-48,"TIMP4","TIMP metallopeptidase inhibitor 4"
"ENSG00000099337",530.050539151212,2.67775817344913,0.18063510943391,5.89472187940918e-51,2.13425022168568e-48,"KCNK6","potassium two pore domain channel subfamily K member 6"
"ENSG00000126803",449.166910195763,2.42600549590649,0.164158553552881,9.25592590647983e-51,3.28418763013717e-48,"HSPA2","heat shock protein family A (Hsp70) member 2"
"ENSG00000102804",5397.22185348968,1.18503849150437,0.0805807038108539,2.202581171883e-50,7.66195932752475e-48,"TSC22D1","TSC22 domain family member 1"
"ENSG00000138316",799.543792395955,-2.47234173069835,0.169059492305164,9.79579861968304e-50,3.34206275599609e-47,"ADAMTS14","ADAM metallopeptidase with thrombospondin type 1 motif 14"
"ENSG00000133142",3055.93089817239,1.51580436916546,0.105200112186799,2.34298401332172e-49,7.84280743025293e-47,"TCEAL4","transcription elongation factor A like 4"
"ENSG00000168309",159.53270257206,4.6822042228693,0.332384943282514,1.43545744802467e-48,4.71600936766773e-46,"FAM107A","family with sequence similarity 107 member A"
"ENSG00000131389",740.386575174218,-2.09716344510296,0.146310988538747,1.80304150875211e-48,5.81595625577657e-46,"SLC6A6","solute carrier family 6 member 6"
"ENSG00000124440",197.039153833903,2.4934508067912,0.173109685450906,2.48943953453751e-48,7.88663335396964e-46,"HIF3A","hypoxia inducible factor 3 subunit alpha"
"ENSG00000103196",3082.0124237997,2.59141968458683,0.179915987795808,2.75169809177702e-48,8.56453962214317e-46,"CRISPLD2","cysteine rich secretory protein LCCL domain containing 2"
"ENSG00000152268",1597.77739521513,1.88669706899819,0.133035081474486,5.87853764332181e-48,1.79812304017538e-45,NA,NA
"ENSG00000163171",1357.55902827671,1.48200891776315,0.104536933477033,7.70127517504987e-48,2.31573428611118e-45,"CDC42EP3","CDC42 effector protein 3"
"ENSG00000103742",370.820706388422,-2.16784790492278,0.152515941420277,1.40072564056376e-47,4.14171226487362e-45,"IGDCC4","immunoglobulin superfamily DCC subclass member 4"
"ENSG00000141401",627.520278173619,2.29503199961889,0.161186923253469,1.65502769792909e-47,4.8134174408131e-45,"IMPA2","inositol monophosphatase 2"
"ENSG00000112837",2754.88935249187,-1.80681347172413,0.129504608994859,1.18147297584076e-46,3.38072775232112e-44,"TBX18","T-box transcription factor 18"
"ENSG00000164647",1920.66981763038,1.54209290559976,0.111014687857167,3.33650998462794e-46,9.39571803766417e-44,"STEAP1","STEAP family member 1"
"ENSG00000068383",1247.22232538952,1.35855841131937,0.0979082631965352,1.09758786190225e-45,3.04254785281372e-43,"INPP5A","inositol polyphosphate-5-phosphatase A"
"ENSG00000156675",1631.84697521014,1.5215496181688,0.11092507826272,4.06552035925325e-45,1.10963687220787e-42,"RAB11FIP1","RAB11 family interacting protein 1"
"ENSG00000136999",435.699971095803,-2.51177539189952,0.182281155218956,1.7199193586087e-44,4.62319535470864e-42,"CCN3","cellular communication network factor 3"
"ENSG00000196517",229.633647428552,-2.19653784430462,0.161260070081687,6.21416180409118e-44,1.64545439651316e-41,"SLC6A9","solute carrier family 6 member 9"
"ENSG00000206538",12754.6558888331,1.34291774661546,0.0991312751788151,1.13010449689709e-43,2.94840939403694e-41,"VGLL3","vestigial like family member 3"
"ENSG00000227051",4615.6054759973,-1.13345919391786,0.083413579553152,2.37768971337984e-43,6.11341930508287e-41,"C14orf132","chromosome 14 open reading frame 132"
"ENSG00000134363",2906.24515545593,-1.77854575266253,0.133144747194837,3.87718168903908e-43,9.82644004932033e-41,"FST","follistatin"
"ENSG00000109906",385.05721715739,7.19700668035545,0.549994761897767,9.14995295653257e-43,2.28632838594147e-40,"ZBTB16","zinc finger and BTB domain containing 16"
"ENSG00000149218",2027.15230050182,1.89648636296257,0.142542451617515,1.11633770925226e-42,2.75068712497838e-40,"ENDOD1","endonuclease domain containing 1"
"ENSG00000167641",231.669949627326,2.83976066116319,0.210810777020887,1.18632972037885e-42,2.88310624236181e-40,"PPP1R14A","protein phosphatase 1 regulatory inhibitor subunit 14A"
"ENSG00000185432",3885.57811309562,2.21510098812256,0.165865880027461,2.46073136853675e-42,5.82077802789473e-40,"METTL7A","methyltransferase like 7A"
"ENSG00000126016",386.403836682483,-2.33668221683108,0.175154494697586,4.60911572174373e-42,1.07592528972968e-39,"AMOT","angiomotin"
"ENSG00000163378",1805.25019413677,1.24035695561242,0.0931237146890056,4.71133065594461e-42,1.08550282035212e-39,"EOGT","EGF domain specific O-linked N-acetylglucosamine transferase"
"ENSG00000106484",677.193008101563,-1.8335918787944,0.139255006673183,5.62984590464078e-42,1.28050123325939e-39,"MEST","mesoderm specific transcript"
"ENSG00000130513",450.991986417535,-1.83804719652493,0.14022806810407,1.25371949080543e-41,2.81547309954167e-39,"GDF15","growth differentiation factor 15"
"ENSG00000150907",678.850193269614,2.19337004298511,0.165883183958784,1.30868144187995e-41,2.90216468254903e-39,"FOXO1","forkhead box O1"
"ENSG00000196975",4908.68160737216,1.16559596441225,0.0878715773108283,1.5540198958962e-41,3.40368728062895e-39,"ANXA4","annexin A4"
"ENSG00000151726",1460.14487800899,1.57372814672691,0.120260248010893,1.66300907052756e-41,3.59798096588164e-39,"ACSL1","acyl-CoA synthetase long chain family member 1"
"ENSG00000221869",1963.51000018852,1.47223687700392,0.112759964487172,3.75700648636986e-41,8.03048820176961e-39,"CEBPD","CCAAT enhancer binding protein delta"
"ENSG00000169715",554.179471681889,2.18991184807439,0.167615991501682,1.0243293911622e-40,2.16340806292959e-38,"MT1E","metallothionein 1E"
"ENSG00000013293",244.49171329748,-2.82305540568815,0.216773683094841,4.62159725173865e-40,9.64608904036416e-38,"SLC7A14","solute carrier family 7 member 14"
"ENSG00000145390",8441.98752337501,2.1130313864772,0.163537672683675,4.73058199870922e-40,9.75875060919771e-38,"USP53","ubiquitin specific peptidase 53"
"ENSG00000185950",1974.84153683855,2.09007246149366,0.162002970928953,5.44721388681239e-40,1.11079335133263e-37,"IRS2","insulin receptor substrate 2"
"ENSG00000147027",12593.135611977,1.14514142205812,0.0880644946067331,5.52599255493996e-40,1.11405265814988e-37,"TMEM47","transmembrane protein 47"
"ENSG00000131831",1017.1552761875,1.40089542475804,0.10981348974078,2.72968646555141e-39,5.44127725678062e-37,"RAI2","retinoic acid induced 2"
"ENSG00000137672",655.43567671765,1.92091761797386,0.152042497600533,7.7177006217649e-39,1.52133029700812e-36,"TRPC6","transient receptor potential cation channel subfamily C member 6"
"ENSG00000146122",1942.38415499846,1.6495878188534,0.131311413369753,1.21565289800549e-38,2.36998879818851e-36,"DAAM2","dishevelled associated activator of morphogenesis 2"
"ENSG00000119138",1683.23738372748,2.04771857286295,0.162707952641613,2.53675991970656e-38,4.89181062342544e-36,"KLF9","Kruppel like factor 9"
"ENSG00000020577",3104.91722013013,1.1814961523264,0.0931601061229164,2.8131087833679e-38,5.36638311029354e-36,"SAMD4A","sterile alpha motif domain containing 4A"
"ENSG00000163110",1314.15497476784,1.57399339702646,0.125946846315121,3.27824749008587e-38,6.1871690129376e-36,"PDLIM5","PDZ and LIM domain 5"
"ENSG00000138735",6850.09304721691,-1.15758922548004,0.0916887841590236,6.72278516075177e-38,1.2554624372305e-35,"PDE5A","phosphodiesterase 5A"
"ENSG00000071282",3659.78797045925,1.5733027667725,0.126941484232465,1.20144618626875e-37,2.22029758235352e-35,"LMCD1","LIM and cysteine rich domains 1"
"ENSG00000101825",4766.99866066527,-1.29744593498886,0.104268229123574,2.78259153276339e-37,5.08927385389231e-35,"MXRA5","matrix remodeling associated 5"
"ENSG00000246430",2162.48694154274,2.01478225478058,0.163962898693341,8.88603485072535e-37,1.59239539683554e-34,"LINC00968","long intergenic non-protein coding RNA 968"
"ENSG00000163513",13216.3641111148,1.42803569179269,0.116492869630898,1.24302847746616e-36,2.20525682187271e-34,"TGFBR2","transforming growth factor beta receptor 2"
"ENSG00000163431",4934.66606380268,1.14193499294662,0.0923981534002922,2.09232803145223e-36,3.67524669366278e-34,"LMOD1","leiomodin 1"
"ENSG00000046653",1090.44600090453,2.35148283620395,0.190927422811598,2.51518856889132e-36,4.37470200006871e-34,"GPM6B","glycoprotein M6B"
"ENSG00000099998",506.239159496129,2.33664117182291,0.190101903815197,3.25974505978463e-36,5.61467350540185e-34,"GGT5","gamma-glutamyltransferase 5"
"ENSG00000106617",1018.33700394495,1.58316185538718,0.130707094924058,3.78354394472951e-36,6.45421664648522e-34,"PRKAG2","protein kinase AMP-activated non-catalytic subunit gamma 2"
"ENSG00000137809",1115.76300139343,-1.68634756051835,0.139739144441957,5.46559579605438e-36,9.23477476360008e-34,"ITGA11","integrin subunit alpha 11"
"ENSG00000115457",1919.12762882909,2.17221368431696,0.182007705903844,1.34055870217645e-34,2.24366527691626e-32,"IGFBP2","insulin like growth factor binding protein 2"
"ENSG00000160200",834.040259355479,1.21661612759822,0.102538720488839,5.49566552851914e-34,9.11201889172505e-32,"CBS","cystathionine beta-synthase"
"ENSG00000214814",243.272913140811,-2.97804525154118,0.250476861793603,5.59970825984428e-34,9.19855779980532e-32,"FER1L6","fer-1 like family member 6"
"ENSG00000162772",373.510931972804,1.88045732232967,0.161266604178527,9.77916576981903e-34,1.59167137543449e-31,"ATF3","activating transcription factor 3"
"ENSG00000119508",216.664256758354,2.03729639508617,0.174143110349075,1.1889760843212e-33,1.91760224654021e-31,"NR4A3","nuclear receptor subfamily 4 group A member 3"
"ENSG00000128923",1415.64590289368,1.01961041199414,0.085892342179613,1.4950015811345e-33,2.38944351809974e-31,"MINDY2","MINDY lysine 48 deubiquitinase 2"
"ENSG00000174306",3234.76977561774,1.10872133858683,0.0937859465534453,1.73168366660543e-33,2.74301785082562e-31,"ZHX3","zinc fingers and homeoboxes 3"
